http://eloin.blog.hexun.com/23492786_d.html

条形码中的国家代码  [转帖 2008-09-24 11:05:56]   
 字号：大 中 小
No. 前缀码 国家或地区 
1、00-13 美国，加拿大 
2、30-37 法国 
3、380 保加利亚 
4、383385 斯洛文尼亚 
5、385 克罗地亚 
6、387 波黑 
7、400-440 德国 
8、45-49 日本 
9、460-469 俄联邦 
10、471 台湾 
11、474 爱沙尼亚 
12、475 拉脱维亚 
13、476 阿塞拜疆 
14、477 立陶宛 
15、478 乌兹别克斯坦 
16、479 斯里兰卡 
17、480 菲律宾 
18、481 白俄罗斯 
19、482 乌克兰 
20、484 摩尔多瓦 
21、485 亚美尼亚 
22、486 格鲁吉亚 
23、487 哈萨克斯坦 
24、489 香港 
25、50 英国 
26、520 希腊 
27、528 黎巴嫩 
28、529 塞浦路斯 
29、531 马其顿 
30、535 马耳他 
31、539 爱尔兰 
32、54 比利时，卢森堡 
33、560 葡萄牙 
No. 前缀码 国家或地区 　 
34、569 冰岛 
35、57 丹麦 
36、590 波兰 
37、594 罗马尼亚 
38、599 匈牙利 
39、600-601 南非 
40、609 毛里求斯 
41、611 摩洛哥 
42、613 阿尔及利亚 
43、616 肯尼亚 
44、619 突尼斯 
45、621 叙利亚 
46、622 埃及 
47、625 约旦 
48、626 伊朗 
49、628 沙特阿拉伯 
50、64 芬兰 
51、690-692 中国 
52、70 挪威 
53、729 以色列 
54、73 瑞典 
55、740 危地马拉 
56、741 萨尔瓦多 
57、742 洪都拉斯 
58、743 尼加拉瓜 
59、744 哥斯达黎加 
60、745 巴拿马 
61、746 多米尼加 
62、750 墨西哥 
63、759 委瑞内拉 
64、76 瑞士 
65、770 哥伦比亚 
66、773 乌拉圭 
No. 前缀码 国家或地区 
67、775 秘鲁 
68、777 玻利维亚 
69、779 阿根廷 
70、780 智利 
71、784 巴拉圭 
72、786 厄瓜多尔 
73、789 巴西 
74、80-83 意大利 
75、84 西班牙 
76、850 古巴 
77、858 斯洛伐克 
78、859 捷克 
79、860 南斯拉夫 
80、867 北韩 
81、869 土尔其 
82、87 荷兰 
83、880 韩国 
84、885 泰国 
85、888 新加坡 
86、890 印度 
87、893 越南 
88、899 印度尼西亚 
89、90-91 奥地利 
90、93 澳大利亚 
91、94 新西兰 
92、955 马来西亚 
93、958 澳门 
94、200-299 店内码 
95、977 连续出版物 
96、978、979 图书 
97、980 应收票据 
98、981-982 各种流通票据 
99、99 赠券 

